ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
437,669,1798,306,334,1180,2,2087,280,231,2168,2344,2787,79,1589,235,0,0,0
383,625,835,415,173,934,0,1333,59,188,1101,278,1315,185,803,34,0,0,0
308,889,2404,589,462,723,39,1832,129,59,1622,2439,3632,380,1634,1079,0,0,0
362,929,2403,815,516,1155,60,1967,108,227,2381,1534,3501,439,1793,595,0,0,0
443,638,1678,753,348,1090,6,2005,129,293,1865,826,3235,141,1274,112,0,0,0
434,828,2299,1055,481,1346,26,2212,176,368,2373,1060,3266,279,1674,181,0,0,0
470,891,2109,877,491,1282,21,2207,140,404,2308,861,3300,295,1709,78,0,0,0
516,1047,3617,1263,657,1669,71,2730,218,385,3030,1482,4556,407,2025,276,0,0,0
98,181,465,159,112,409,4,730,67,92,501,449,1072,41,449,69,0,0,0
649,1079,2301,652,426,1522,7,2513,207,311,1952,883,3457,280,1500,131,0,0,0
557,1234,2181,1506,724,1827,12,2648,148,594,3329,442,3047,581,2252,28,0,0,0
387,744,1398,697,405,1238,14,1766,79,296,2064,453,3014,254,1383,92,0,0,0
838,1925,2849,1775,1172,2676,9,4419,238,676,4475,1520,5797,591,3488,186,0,0,0
449,752,1330,629,415,1197,6,1876,153,232,1589,768,2238,234,1243,83,0,0,0
530,882,1353,819,440,1570,3,2143,62,404,2291,497,2997,368,1646,78,0,0,0
1129,2772,4904,1925,1242,4309,10,7216,1082,713,5939,5913,9378,674,4623,621,0,0,0
343,946,2916,668,735,1322,5,2395,293,385,2580,1795,3847,269,1832,253,0,0,0
683,1876,3384,818,1022,2644,1,4381,399,481,3007,2652,5161,389,2532,276,0,0,0
120,245,447,186,183,469,0,705,61,90,624,426,884,48,463,73,0,0,0
439,1167,3002,813,980,1880,2,3443,346,469,3177,2373,5515,220,2408,460,0,0,0
570,1124,3439,1217,592,1501,75,2727,229,537,3328,1413,5531,379,2071,174,0,0,0
535,1579,3498,932,1062,2112,1,3245,425,584,3665,2500,4426,631,2867,277,0,0,0
321,961,1896,680,541,1119,0,2056,217,83,1597,1564,2140,205,1206,194,0,0,0
