ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,PUNCT,SCONJ,VERB,X,CONJ,SYM,SPACE
1208,2547,3499,1466,835,3610,12,5528,293,462,4388,1819,4630,493,3700,190,0,0,0
524,1293,1649,733,603,1845,5,2923,284,229,1784,1910,3734,223,1750,194,0,0,0
454,863,1748,850,430,1573,1,2266,155,353,2107,1070,3017,300,1589,109,0,0,0
551,1049,1700,773,534,1712,7,2868,147,344,2035,1155,3810,184,1665,93,0,0,0
712,899,2409,196,140,480,47,2574,101,34,685,5735,4154,219,2307,3025,0,0,0
82,140,195,63,31,324,1,553,41,30,289,348,942,17,243,19,0,0,0
667,1639,3032,692,724,2135,4,3752,349,320,2579,2705,4762,227,2121,290,0,0,0
281,808,1330,289,390,1107,7,1881,192,133,1125,1256,2109,70,1069,121,0,0,0
250,552,1141,328,248,730,3,1580,151,149,900,1273,1930,66,738,120,0,0,0
600,1236,2464,957,556,1734,8,3087,160,321,2636,1377,4157,234,2233,192,0,0,0
165,232,665,93,42,119,4,724,28,10,198,1721,1256,39,651,970,0,0,0
1274,2087,4291,840,825,2755,5,5136,615,481,3572,4031,7261,260,2618,519,0,0,0
628,1384,2562,1355,760,2016,8,3104,198,499,3211,1142,4632,529,2326,77,0,0,0
2342,3801,7873,1692,1959,4679,10,9817,1279,929,6259,6232,11244,533,5986,624,0,0,0
148,493,1170,340,338,657,3,1153,122,212,1273,845,1888,107,899,137,0,0,0
100,337,861,272,212,470,6,760,91,172,1177,600,1365,125,820,74,0,0,0
825,1626,2655,1435,769,2849,5,3643,201,574,4297,939,4964,586,3203,105,0,0,0
736,1370,3463,1636,757,2269,4,3600,199,557,3675,1664,4573,626,2631,94,0,0,0
563,1843,3067,930,916,2612,11,4623,542,434,3215,3536,6073,418,2572,301,0,0,0
493,1425,2829,608,859,2011,2,3172,296,334,2342,2002,3882,273,1904,214,0,0,0
585,1704,3091,1301,904,2422,2,3501,212,632,3882,1218,4962,778,3120,119,0,0,0
340,1362,2561,809,822,1691,1,2797,407,476,3154,1775,4146,247,2413,236,0,0,0
374,1370,2123,798,579,1423,2,2182,245,258,2252,1596,2969,163,1629,146,0,0,0
