name,id,firstAuthor,numOfCoAuthors,title,subtitle,normalizedGenre,yearNormalized,size,libretto,averageClustering,density,averagePathLength,maxDegreeIds,averageDegree,diameter,yearPremiered,yearPrinted,maxDegree,numOfSpeakers,numOfSpeakersFemale,numOfSpeakersMale,numOfSpeakersUnknown,numPersonGroups,numConnectedComponents,yearWritten,numOfSegments,wikipediaLinkCount,numOfActs,wordCountText,wordCountSp,wordCountStage,numOfP,numOfL
"bellincioni-egloga-ovvero-pasturale","ita000045","Bellincioni","0","Egloga ovvero Pasturale","","","1493","7","false","1","1","1","several characters","6","1","","1493","6","7","1","6","0","","1","1488","1","0","0","2036","1832","151","0","268"
"bellincioni-ripresentazione-di-pavia","ita000046","Bellincioni","0","Ripresentazione di Pavia","","","1492","11","false","1","1","1","several characters","10","1","","","10","11","1","2","8","","1","1492","1","0","0","2402","2127","115","0","316"
"boiardo-timone","ita000047","Boiardo","0","Timone","","","1487","14","false","0.8528138528138528","0.32967032967032966","1.6153846153846154","timone","4.285714285714286","2","","","12","14","0","10","4","","2","1487","7","0","5","14240","13681","548","0","1905"
"cammelli-panfila","ita000048","Cammelli","0","Panfila","","","1508","15","false","0.22444444444444445","0.13333333333333333","1.8974358974358974","demetrio|panfila","1.8666666666666667","4","","1508","5","15","6","6","3","","5","1499","31","0","5","11877","11326","74","1","1581"
"carmignani-polissena","ita000049","Carmignani","0","Polissena","","","1789","6","false","0.8388888888888889","0.7333333333333333","1.2666666666666666","arsindo|polissena","3.6666666666666665","2","","1789","5","6","2","4","0","","1","","30","0","5","17070","14566","1401","0","2179"
"cascina-alfea-reverente","ita000050","Cascina","0","Alfea reverente","","","1639","4","false","1","1","1","several characters","3","1","","1639","3","4","3","0","1","","1","","1","0","0","2896","929","67","0","148"
"cecchini-l-amico-tradito","ita000051","Cecchini","0","L'amico tradito","","","1633","12","false","0.7886904761904762","0.5909090909090909","1.290909090909091","several characters","6.5","2","","1633","9","12","3","9","0","","2","","66","0","3","13498","12645","656","635","0"
"cosci-paola-da-buti","ita000052","Cosci","0","Paola da Buti","","","1933","13","false","0.7891275391275392","0.4230769230769231","1.5769230769230769","paola","5.076923076923077","2","1933","","12","14","4","9","1","","1","1930","22","0","4","6116","5211","1199","0","905"
"da-correggio-fabula-de-cefalo","ita000053","Correggio","0","Fabula de Cefalo","","","1487","16","false","0.8747519841269842","0.5416666666666666","1.4583333333333333","cefalo|procri","8.125","2","1487","1507","15","16","9","6","1","","1","","5","0","5","8695","7287","1017","0","999"
"da-ponte-cosi-fan-tutte","ita000054","Ponte","0","Così fan tutte","","","1790","9","false","0.9285714285714286","0.9166666666666666","1.0833333333333333","several characters","7.333333333333333","2","1790","","8","9","3","5","1","","1","1789/1790","34","0","2","10653","9986","1201","0","1970"
"da-ponte-don-giovanni","ita000055","Ponte","0","Don Giovanni","","","1787","12","false","0.7612433862433864","0.5","1.5909090909090908","don_giovanni","5.5","3","1787","","9","12","4","6","2","","1","1787","36","0","2","9681","9078","1368","0","1665"
"da-ponte-le-nozze-di-figaro","ita000056","Ponte","0","Le nozze di Figaro","","","1786","14","false","0.8710832817975674","0.6923076923076923","1.3186813186813187","conte|susanna|figaro","9","3","1786","","12","14","6","7","2","","1","1785/1786","48","0","4","13038","11739","2360","0","2133"
